ncols         20
nrows         12
xllcorner     855931.82803726
yllcorner     6265857.3473187
cellsize      1
NODATA_value  -9999
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	01	01	06	06	11	11	16	16	21	21	31	31	36	36	41	41	46	46	00
00	01	01	06	06	11	11	16	16	21	21	31	31	36	36	41	41	46	46	00
00	02	02	07	07	12	12	17	17	00	00	32	32	37	37	42	42	47	47	00
00	02	02	07	07	12	12	17	17	00	00	32	32	37	37	42	42	47	47	00
00	03	03	08	08	13	13	18	18	00	00	33	33	38	38	43	43	48	48	00
00	03	03	08	08	13	13	18	18	00	00	33	33	38	38	43	43	48	48	00
00	04	04	09	09	14	14	19	19	00	00	34	34	39	39	44	44	49	49	00
00	04	04	09	09	14	14	19	19	00	00	34	34	39	39	44	44	49	49	00
00	05	05	10	10	15	15	20	20	22	22	35	35	40	40	45	45	50	50	00
00	05	05	10	10	15	15	20	20	22	22	35	35	40	40	45	45	50	50	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
